Date;Nom_Entreprise;Secteur;Type_Entreprise;Type_Pub;Programme;Quality_Score;Prix_Euros;Temps_Plateforme;Nb_Visites;Device;Heure_Achat;Visites_Avant_Achat;ID_Campagne;Numero_Campagne;Objectif_Audience_K_Vues;Audience_Realisee_K_Vues;Objectif_Atteint;Taux_Reussite_Campagne_Precedente;Media;Plateforme_Diffusion;Cible;Date_Debut;Date_Fin;Mois;Fenetre_Commerciale;Frequence;Audience_Placement_K_Vues;Reach_K;Couverture_Efficace_K;Taux_Lead;Taux_Vente;Leads_Realises;Ventes_Realises;Objectif_Conversion;Conversion_Realisee;Objectif_Conversion_Atteint
2020-12-27;AlgoBwa;Tech;Privé;Citation orale;INSIDE MAS;9.2;959.0;18.4;2;Mobile;20.0;8.0;AlgoBwa_C02;2;500;546.8;Oui;25;Karata;YouTube;Parent;2020-04-07;2021-02-04;12;Standard;1.44;131.3;91.2;43.8;0.0823;0.0191;10.809;2.505;29.4;32.027;Oui
2021-02-04;AlgoBwa;Tech;Privé;Logo début/fin;MIZIK A;8.4;997.37;23.8;7;Tablet;8.0;8.0;AlgoBwa_C02;2;500;546.8;Oui;25;Karata;Spotify;Parent;2020-04-07;2021-02-04;2;Carnaval;1.94;39.8;20.5;13.3;0.0266;0.0046;1.058;0.182;29.4;32.027;Oui
2021-02-05;AlgoBwa;Tech;Privé;Citation orale;VIDEO PARTENAIRE;6.5;543.17;26.9;3;Mobile;10.0;8.0;AlgoBwa_C03;3;100;127.6;Oui;75;Karata;YouTube;Professionnel;2021-02-05;2021-06-02;2;Carnaval;1.28;12.7;10.0;4.2;0.0903;0.0237;1.150;0.301;7.4;6.923;Non
2021-04-02;AlgoBwa;Tech;Particulier;Mécénat;FWET A MAS;6.6;411.21;14.3;1;Tablet;12.0;7.0;AlgoBwa_C03;3;100;127.6;Oui;75;Karata;Instagram;Professionnel;2021-02-05;2021-06-02;4;Standard;3.31;17.1;5.2;5.2;0.0353;0.0106;0.604;0.181;7.4;6.923;Non
2021-04-03;AlgoBwa;Tech;Privé;Mécénat;KARATA TOUR;6.4;1057.38;33.8;7;Desktop;18.0;6.0;AlgoBwa_C03;3;100;127.6;Oui;75;Karata;YouTube;Professionnel;2021-02-05;2021-06-02;4;Standard;1.11;20.5;18.4;6.8;0.0488;0.0154;0.998;0.316;7.4;6.923;Non
2021-04-09;AlgoBwa;Tech;Privé;Logo fin;LIVE;5.4;783.36;17.9;5;Tablet;9.0;8.0;AlgoBwa_C03;3;100;127.6;Oui;75;Karata;YouTube;Professionnel;2021-02-05;2021-06-02;4;Standard;1.36;30.0;22.0;10.0;0.0480;0.0085;1.439;0.254;7.4;6.923;Non
2021-05-24;AlgoBwa;Tech;Association;Don;INSIDE MAS;7.1;175.42;22.5;8;Desktop;10.0;6.0;AlgoBwa_C03;3;100;127.6;Oui;75;Karata;Facebook;Professionnel;2021-02-05;2021-06-02;5;Standard;1.95;27.3;14.0;9.1;0.0514;0.0089;1.405;0.244;7.4;6.923;Non
2021-06-02;AlgoBwa;Tech;Privé;Mécénat;VIDEO PARTENAIRE;5.2;378.11;16.5;8;Desktop;10.0;6.0;AlgoBwa_C03;3;100;127.6;Oui;75;Karata;YouTube;Professionnel;2021-02-05;2021-06-02;6;Standard;1.65;20.0;12.1;6.7;0.0663;0.0106;1.328;0.211;7.4;6.923;Non
2021-06-05;AlgoBwa;Tech;Particulier;Mécénat;MIZIK A;5.2;290.07;19.9;2;Mobile;22.0;3.0;AlgoBwa_C04;4;200;285.0;Oui;100;Karata;Spotify;Sport_Lover;2021-06-05;2022-06-17;6;Standard;1.96;27.3;13.9;9.1;0.0492;0.0131;1.340;0.358;14.9;14.722;Non
2021-06-07;AlgoBwa;Tech;Public;Logo début/fin;INSIDE MAS;8.2;583.63;17.6;5;Mobile;18.0;5.0;AlgoBwa_C04;4;200;285.0;Oui;100;Karata;Instagram;Sport_Lover;2021-06-05;2022-06-17;6;Standard;2.99;74.4;24.9;24.8;0.0439;0.0103;3.263;0.766;14.9;14.722;Non
2021-06-14;AlgoBwa;Tech;Privé;Don;INSIDE MAS;6.1;230.29;9.8;2;Tablet;8.0;9.0;AlgoBwa_C04;4;200;285.0;Oui;100;Karata;YouTube;Sport_Lover;2021-06-05;2022-06-17;6;Standard;1.52;37.7;24.8;12.6;0.0444;0.0085;1.674;0.322;14.9;14.722;Non
2021-06-19;AlgoBwa;Tech;Privé;Logo fin;FWET A MAS;5.7;413.41;16.3;4;Mobile;21.0;3.0;AlgoBwa_C04;4;200;285.0;Oui;100;Karata;Instagram;Sport_Lover;2021-06-05;2022-06-17;6;Standard;3.09;30.5;9.9;9.9;0.0329;0.0044;1.006;0.134;14.9;14.722;Non
2021-09-13;AlgoBwa;Tech;Privé;Don;INSIDE MAS;10.0;314.14;20.3;2;Mobile;17.0;11.0;AlgoBwa_C04;4;200;285.0;Oui;100;Karata;Instagram;Sport_Lover;2021-06-05;2022-06-17;9;Standard;2.75;58.7;21.3;19.6;0.0530;0.0096;3.110;0.566;14.9;14.722;Non
2022-06-17;AlgoBwa;Tech;Public;Placement produit;INSIDE MAS;7.2;1226.56;22.9;6;Tablet;23.0;11.0;AlgoBwa_C04;4;200;285.0;Oui;100;Karata;Facebook;Sport_Lover;2021-06-05;2022-06-17;6;Standard;2.02;56.4;27.9;18.8;0.0767;0.0253;4.329;1.429;14.9;14.722;Non
2022-06-23;AlgoBwa;Tech;Public;Mécénat;FWET A MAS;5.7;302.84;31.8;6;Desktop;11.0;5.0;AlgoBwa_C05;5;300;430.0;Oui;100;Karata;YouTube;Artisan;2022-06-23;2023-08-11;6;Standard;1.57;70.9;45.2;23.6;0.0473;0.0091;3.354;0.646;29.9;28.927;Non
2022-10-07;AlgoBwa;Tech;Privé;Placement produit;KARATA TOUR;6.9;2297.94;27.6;9;Tablet;12.0;7.0;AlgoBwa_C05;5;300;430.0;Oui;100;Karata;Facebook;Artisan;2022-06-23;2023-08-11;10;Standard;2.40;98.6;41.0;32.9;0.0824;0.0317;8.120;3.123;29.9;28.927;Non
2022-10-17;AlgoBwa;Tech;Association;Mécénat;INSIDE MAS;6.6;592.41;12.9;7;Mobile;7.0;5.0;AlgoBwa_C05;5;300;430.0;Oui;100;Karata;YouTube;Artisan;2022-06-23;2023-08-11;10;Standard;1.22;68.0;55.9;22.7;0.0486;0.0150;3.306;1.017;29.9;28.927;Non
2023-04-12;AlgoBwa;Tech;Public;Citation orale;MOUN A MAS;5.8;721.73;29.2;6;Desktop;9.0;8.0;AlgoBwa_C05;5;300;430.0;Oui;100;Karata;Instagram;Artisan;2022-06-23;2023-08-11;4;Standard;2.89;79.2;27.4;26.4;0.0851;0.0204;6.741;1.615;29.9;28.927;Non
2023-06-18;AlgoBwa;Tech;Privé;Mécénat;MOUN A MAS;9.5;1720.91;4.6;1;Mobile;9.0;5.0;AlgoBwa_C05;5;300;430.0;Oui;100;Karata;Instagram;Artisan;2022-06-23;2023-08-11;6;Standard;3.91;62.6;16.0;16.0;0.0472;0.0085;2.953;0.531;29.9;28.927;Non
2023-08-11;AlgoBwa;Tech;Privé;Placement produit;VIDEO PARTENAIRE;5.7;755.75;16.6;7;Mobile;9.0;3.0;AlgoBwa_C05;5;300;430.0;Oui;100;Karata;Facebook;Artisan;2022-06-23;2023-08-11;8;Été;1.56;50.7;32.4;16.9;0.0878;0.0343;4.452;1.738;29.9;28.927;Non
2023-08-12;AlgoBwa;Tech;Particulier;Mécénat;INSIDE MAS;9.4;965.78;38.0;24;Desktop;21.0;11.0;AlgoBwa_C06;6;300;478.6;Oui;100;Karata;Instagram;Artisan;2023-08-12;2024-02-09;8;Été;2.55;63.2;24.7;21.1;0.0736;0.0119;4.649;0.751;24.4;25.911;Oui
2023-09-26;AlgoBwa;Tech;Privé;Logo début/fin;KARATA TOUR;7.1;1432.53;28.9;45;Desktop;20.0;9.0;AlgoBwa_C06;6;300;478.6;Oui;100;Karata;Instagram;Artisan;2023-08-12;2024-02-09;9;Standard;2.67;71.1;26.6;23.7;0.0447;0.0104;3.179;0.743;24.4;25.911;Oui
2023-12-19;AlgoBwa;Tech;Public;Don;KARATA TOUR;7.2;264.71;17.4;4;Mobile;9.0;7.0;AlgoBwa_C06;6;300;478.6;Oui;100;Karata;Facebook;Artisan;2023-08-12;2024-02-09;12;Standard;1.96;68.3;34.8;22.8;0.0435;0.0079;2.970;0.541;24.4;25.911;Oui
2024-01-04;AlgoBwa;Tech;Public;Citation orale;INSIDE MAS;7.4;987.25;42.6;6;Tablet;17.0;11.0;AlgoBwa_C06;6;300;478.6;Oui;100;Karata;YouTube;Artisan;2023-08-12;2024-02-09;1;Carnaval;1.49;112.3;75.3;37.4;0.0785;0.0241;8.821;2.708;24.4;25.911;Oui
2024-02-09;AlgoBwa;Tech;Privé;Mécénat;INSIDE MAS;6.8;1160.03;29.3;2;Mobile;12.0;5.0;AlgoBwa_C06;6;300;478.6;Oui;100;Karata;YouTube;Artisan;2023-08-12;2024-02-09;2;Carnaval;1.33;163.7;122.6;54.6;0.0384;0.0132;6.292;2.154;24.4;25.911;Oui
2024-03-20;AlgoBwa;Tech;Privé;Logo début/fin;INSIDE MAS;5.3;1053.49;6.1;1;Desktop;16.0;3.0;AlgoBwa_C07;7;50;65.7;Oui;100;Karata;YouTube;Parent;2024-03-20;2024-06-21;3;Carnaval;1.55;11.6;7.5;3.9;0.0444;0.0111;0.516;0.129;3.2;3.842;Oui
2024-03-21;AlgoBwa;Tech;Privé;Mécénat;INSIDE MAS;9.8;1713.14;29.0;6;Mobile;21.0;5.0;AlgoBwa_C07;7;50;65.7;Oui;100;Karata;YouTube;Parent;2024-03-20;2024-06-21;3;Carnaval;1.11;16.7;15.1;5.6;0.0544;0.0152;0.911;0.255;3.2;3.842;Oui
2024-03-27;AlgoBwa;Tech;Privé;Logo début/fin;INSIDE MAS;7.5;1215.79;19.5;2;Tablet;2.0;11.0;AlgoBwa_C07;7;50;65.7;Oui;100;Karata;Instagram;Parent;2024-03-20;2024-06-21;3;Carnaval;2.41;10.2;4.2;3.4;0.0526;0.0089;0.534;0.091;3.2;3.842;Oui
2024-05-07;AlgoBwa;Tech;Privé;Citation orale;INSIDE MAS;7.2;736.95;39.1;5;Tablet;9.0;2.0;AlgoBwa_C07;7;50;65.7;Oui;100;Karata;YouTube;Parent;2024-03-20;2024-06-21;5;Standard;1.83;10.2;5.6;3.4;0.0674;0.0142;0.688;0.145;3.2;3.842;Oui
2024-06-21;AlgoBwa;Tech;Privé;Citation orale;INSIDE MAS;7.3;865.24;12.5;2;Mobile;18.0;5.0;AlgoBwa_C07;7;50;65.7;Oui;100;Karata;Instagram;Parent;2024-03-20;2024-06-21;6;Standard;2.82;16.9;6.0;5.6;0.0704;0.0185;1.192;0.313;3.2;3.842;Oui
2024-07-21;AlgoBwa;Tech;Privé;Citation orale;KARATA TOUR;9.0;1615.35;4.1;4;Tablet;17.0;10.0;AlgoBwa_C08;8;650;888.6;Oui;100;Karata;Facebook;Sport_Lover;2024-07-21;2024-10-08;7;Été;1.93;123.6;64.1;41.2;0.0639;0.0111;7.898;1.369;49.0;58.500;Oui
2024-07-24;AlgoBwa;Tech;Association;Don;MOUN A MAS;9.9;344.53;18.5;3;Desktop;19.0;8.0;AlgoBwa_C08;8;650;888.6;Oui;100;Karata;Facebook;Sport_Lover;2024-07-21;2024-10-08;7;Été;2.00;82.5;41.3;27.5;0.0566;0.0085;4.673;0.698;49.0;58.500;Oui
2024-08-12;AlgoBwa;Tech;Privé;Don;LIVE;9.2;351.74;29.9;3;Tablet;21.0;7.0;AlgoBwa_C08;8;650;888.6;Oui;100;Karata;Facebook;Sport_Lover;2024-07-21;2024-10-08;8;Été;2.45;187.8;76.8;62.6;0.0557;0.0114;10.458;2.148;49.0;58.500;Oui
2024-09-03;AlgoBwa;Tech;Privé;Placement produit;LIVE;8.7;2503.25;38.4;2;Mobile;16.0;7.0;AlgoBwa_C08;8;650;888.6;Oui;100;Karata;YouTube;Sport_Lover;2024-07-21;2024-10-08;9;Standard;1.56;230.9;148.2;77.0;0.0980;0.0383;22.631;8.851;49.0;58.500;Oui
2024-10-08;AlgoBwa;Tech;Public;Logo fin;INSIDE MAS;9.5;814.08;25.1;4;Tablet;12.0;7.0;AlgoBwa_C08;8;650;888.6;Oui;100;Karata;YouTube;Sport_Lover;2024-07-21;2024-10-08;10;Standard;1.42;263.8;186.1;87.9;0.0487;0.0100;12.839;2.634;49.0;58.500;Oui
2024-11-11;AlgoBwa;Tech;Privé;Logo début/fin;LIVE;5.5;731.36;37.0;9;Mobile;21.0;8.0;AlgoBwa_C09;9;800;1267.4;Oui;100;Karata;YouTube;Sport_Lover;2024-11-11;2025-03-10;11;Standard;1.40;280.4;199.8;93.5;0.0412;0.0077;11.560;2.147;68.9;63.305;Non
2024-11-15;AlgoBwa;Tech;Public;Citation orale;INSIDE MAS;8.7;803.12;23.9;3;Desktop;19.0;11.0;AlgoBwa_C09;9;800;1267.4;Oui;100;Karata;Instagram;Sport_Lover;2024-11-11;2025-03-10;11;Standard;2.77;359.4;129.8;119.8;0.0619;0.0139;22.244;4.979;68.9;63.305;Non
2025-01-23;AlgoBwa;Tech;Public;Mécénat;KARATA TOUR;6.2;1142.84;16.5;5;Tablet;10.0;9.0;AlgoBwa_C09;9;800;1267.4;Oui;100;Karata;YouTube;Sport_Lover;2024-11-11;2025-03-10;1;Carnaval;1.55;248.6;160.3;82.9;0.0369;0.0092;9.187;2.279;68.9;63.305;Non
2025-03-07;AlgoBwa;Tech;Public;Citation orale;KARATA TOUR;7.2;1311.75;3.5;6;Desktop;21.0;9.0;AlgoBwa_C09;9;800;1267.4;Oui;100;Karata;Instagram;Sport_Lover;2024-11-11;2025-03-10;3;Carnaval;3.16;219.2;69.5;69.5;0.0605;0.0149;13.268;3.261;68.9;63.305;Non
2025-03-10;AlgoBwa;Tech;Privé;Mécénat;KARATA TOUR;5.7;1445.95;20.6;1;Mobile;17.0;3.0;AlgoBwa_C09;9;800;1267.4;Oui;100;Karata;YouTube;Sport_Lover;2024-11-11;2025-03-10;3;Carnaval;1.30;159.8;122.6;53.3;0.0441;0.0082;7.046;1.311;68.9;63.305;Non
2025-07-20;AlgoBwa;Tech;Privé;Mécénat;KARATA TOUR;6.7;1108.29;8.7;3;Mobile;16.0;11.0;AlgoBwa_C10;10;100;159.0;Oui;100;Karata;YouTube;Gamers;2025-07-20;2025-12-14;7;Été;1.32;21.5;16.3;7.2;0.0482;0.0093;1.038;0.200;7.9;8.046;Oui
2025-08-19;AlgoBwa;Tech;Privé;Logo début/fin;LIVE;7.3;963.81;36.4;2;Desktop;19.0;2.0;AlgoBwa_C10;10;100;159.0;Oui;100;Karata;YouTube;Gamers;2025-07-20;2025-12-14;8;Été;1.20;46.4;38.6;15.5;0.0461;0.0110;2.140;0.509;7.9;8.046;Oui
2025-09-25;AlgoBwa;Tech;Privé;Placement produit;KARATA TOUR;7.7;2554.17;18.7;1;Tablet;11.0;8.0;AlgoBwa_C10;10;100;159.0;Oui;100;Karata;Facebook;Gamers;2025-07-20;2025-12-14;9;Standard;1.77;19.7;11.1;6.6;0.0508;0.0137;1.000;0.270;7.9;8.046;Oui
2025-11-24;AlgoBwa;Tech;Privé;Don;INSIDE MAS;8.8;263.85;3.7;8;Tablet;14.0;11.0;AlgoBwa_C10;10;100;159.0;Oui;100;Karata;YouTube;Gamers;2025-07-20;2025-12-14;11;Standard;1.83;37.0;20.2;12.3;0.0526;0.0139;1.945;0.513;7.9;8.046;Oui
2025-12-14;AlgoBwa;Tech;Public;Mécénat;INSIDE MAS;6.0;449.49;30.8;4;Desktop;17.0;4.0;AlgoBwa_C10;10;100;159.0;Oui;100;Karata;Instagram;Gamers;2025-07-20;2025-12-14;12;Standard;3.41;34.4;10.1;10.1;0.0559;0.0108;1.924;0.372;7.9;8.046;Oui
2020-05-07;AntillesAdventure;Tourisme;Privé;Citation orale;INSIDE MAS;8.4;966.0;29.5;1;Desktop;17.0;4.0;AntillesAdventure_C01;1;650;886.9;Oui;0;Karata;Instagram;Kids;2020-05-07;2020-05-22;5;Standard;2.94;333.1;113.3;111.0;0.0708;0.0187;23.587;6.224;51.3;55.337;Oui
2020-05-15;AntillesAdventure;Tourisme;Privé;Placement produit;INSIDE MAS;5.6;1343.95;21.7;8;Mobile;10.0;2.0;AntillesAdventure_C01;1;650;886.9;Oui;0;Karata;Facebook;Kids;2020-05-07;2020-05-22;5;Standard;2.09;331.5;158.8;110.5;0.0672;0.0196;22.267;6.496;51.3;55.337;Oui
2020-05-22;AntillesAdventure;Tourisme;Privé;Logo début/fin;MOUN A MAS;8.9;1417.56;13.0;1;Tablet;16.0;6.0;AntillesAdventure_C01;1;650;886.9;Oui;0;Karata;Instagram;Kids;2020-05-07;2020-05-22;5;Standard;3.53;222.3;63.1;63.1;0.0427;0.0074;9.482;1.652;51.3;55.337;Oui
2020-09-01;AntillesAdventure;Tourisme;Privé;Placement produit;INSIDE MAS;6.1;1343.78;20.4;5;Desktop;21.0;1.0;AntillesAdventure_C02;2;200;201.6;Oui;100;Karata;Instagram;Parent;2020-09-01;2021-02-10;9;Standard;2.75;80.0;29.1;26.7;0.1139;0.0310;9.111;2.481;26.6;22.850;Non
2021-01-13;AntillesAdventure;Tourisme;Privé;Don;VIDEO PARTENAIRE;7.6;200.43;31.2;9;Desktop;19.0;5.0;AntillesAdventure_C02;2;200;201.6;Oui;100;Karata;Facebook;Parent;2020-09-01;2021-02-10;1;Carnaval;2.31;28.0;12.1;9.3;0.0635;0.0150;1.777;0.419;26.6;22.850;Non
2021-02-10;AntillesAdventure;Tourisme;Privé;Placement produit;LIVE;8.5;3222.63;16.0;7;Tablet;21.0;6.0;AntillesAdventure_C02;2;200;201.6;Oui;100;Karata;YouTube;Parent;2020-09-01;2021-02-10;2;Carnaval;1.50;93.6;62.4;31.2;0.1278;0.0388;11.962;3.630;26.6;22.850;Non
2021-03-05;AntillesAdventure;Tourisme;Privé;Don;MOUN A MAS;6.4;399.19;38.5;4;Tablet;21.0;5.0;AntillesAdventure_C03;3;650;582.5;Non;75;Karata;Facebook;Artisan;2021-03-05;2021-09-26;3;Carnaval;2.31;171.3;74.3;57.1;0.0793;0.0159;13.588;2.730;55.9;52.303;Non
2021-09-19;AntillesAdventure;Tourisme;Particulier;Logo début/fin;VIDEO PARTENAIRE;5.8;270.36;22.7;6;Mobile;18.0;3.0;AntillesAdventure_C03;3;650;582.5;Non;75;Karata;YouTube;Artisan;2021-03-05;2021-09-26;9;Standard;1.33;156.2;117.4;52.1;0.0424;0.0100;6.628;1.556;55.9;52.303;Non
2021-09-26;AntillesAdventure;Tourisme;Particulier;Placement produit;INSIDE MAS;8.1;1291.95;34.1;8;Mobile;20.0;4.0;AntillesAdventure_C03;3;650;582.5;Non;75;Karata;Facebook;Artisan;2021-03-05;2021-09-26;9;Standard;1.91;254.9;133.6;85.0;0.1259;0.0403;32.088;10.268;55.9;52.303;Non
2021-10-22;AntillesAdventure;Tourisme;Privé;Logo fin;FWET A MAS;8.1;753.38;30.1;2;Tablet;14.0;3.0;AntillesAdventure_C04;4;650;740.0;Oui;50;Karata;TikTok;Sport_Lover;2021-10-22;2021-12-24;10;Standard;3.92;262.7;67.0;67.0;0.0552;0.0090;14.514;2.377;56.8;50.400;Non
2021-11-09;AntillesAdventure;Tourisme;Privé;Logo fin;INSIDE MAS;7.9;890.7;36.7;3;Tablet;20.0;3.0;AntillesAdventure_C04;4;650;740.0;Oui;50;Karata;Facebook;Sport_Lover;2021-10-22;2021-12-24;11;Standard;2.14;271.4;126.8;90.5;0.0451;0.0066;12.233;1.785;56.8;50.400;Non
2021-12-24;AntillesAdventure;Tourisme;Particulier;Placement produit;KARATA TOUR;6.8;1591.1;37.1;6;Desktop;7.0;3.0;AntillesAdventure_C04;4;650;740.0;Oui;50;Karata;Instagram;Sport_Lover;2021-10-22;2021-12-24;12;Standard;3.20;205.9;64.2;64.2;0.1149;0.0461;23.653;9.483;56.8;50.400;Non
2022-10-09;AntillesAdventure;Tourisme;Particulier;Placement produit;INSIDE MAS;6.3;1108.51;19.9;8;Tablet;17.0;4.0;AntillesAdventure_C05;5;400;600.0;Oui;75;Karata;Facebook;Kids;2022-10-09;2022-12-13;10;Standard;1.98;326.8;165.2;108.9;0.0939;0.0317;30.683;10.376;49.2;42.985;Non
2022-12-13;AntillesAdventure;Tourisme;Public;Mécénat;INSIDE MAS;9.0;801.38;28.9;9;Tablet;10.0;3.0;AntillesAdventure_C05;5;400;600.0;Oui;75;Karata;Facebook;Kids;2022-10-09;2022-12-13;12;Standard;2.62;273.2;104.4;91.1;0.0450;0.0125;12.302;3.419;49.2;42.985;Non
2023-12-12;AntillesAdventure;Tourisme;Public;Logo fin;INSIDE MAS;6.7;654.77;17.4;6;Mobile;18.0;11.0;AntillesAdventure_C06;6;100;62.7;Non;100;Karata;Instagram;Gamers;2023-12-12;2024-07-09;12;Standard;3.31;38.0;11.5;11.5;0.0459;0.0114;1.745;0.432;4.1;3.875;Non
2024-07-09;AntillesAdventure;Tourisme;Privé;Don;KARATA TOUR;5.5;276.77;6.0;3;Desktop;21.0;5.0;AntillesAdventure_C06;6;100;62.7;Non;100;Karata;YouTube;Gamers;2023-12-12;2024-07-09;7;Été;1.50;24.7;16.5;8.2;0.0862;0.0134;2.130;0.331;4.1;3.875;Non
2024-07-12;AntillesAdventure;Tourisme;Public;Citation orale;LIVE;9.8;1055.14;33.0;2;Mobile;20.0;2.0;AntillesAdventure_C07;7;500;354.2;Non;25;Karata;Facebook;Kids;2024-07-12;2024-08-05;7;Été;2.52;124.4;49.3;41.5;0.0696;0.0195;8.659;2.426;23.5;25.817;Oui
2024-08-05;AntillesAdventure;Tourisme;Public;Logo début/fin;INSIDE MAS;8.3;774.78;39.2;8;Tablet;16.0;5.0;AntillesAdventure_C07;7;500;354.2;Non;25;Karata;Instagram;Kids;2024-07-12;2024-08-05;8;Été;2.90;229.8;79.2;76.6;0.0747;0.0150;17.158;3.444;23.5;25.817;Oui
2024-12-12;AntillesAdventure;Tourisme;Privé;Don;INSIDE MAS;9.8;373.32;16.6;8;Desktop;14.0;3.0;AntillesAdventure_C08;8;300;333.3;Oui;25;Karata;YouTube;Artisan;2024-12-12;2025-06-01;12;Standard;1.26;202.9;161.6;67.6;0.0492;0.0107;9.979;2.170;23.0;22.451;Non
2025-06-01;AntillesAdventure;Tourisme;Privé;Placement produit;MIZIK A;9.3;1457.83;6.3;8;Mobile;15.0;6.0;AntillesAdventure_C08;8;300;333.3;Oui;25;Karata;YouTube;Artisan;2024-12-12;2025-06-01;6;Standard;1.58;130.4;82.3;43.5;0.0957;0.0440;12.472;5.741;23.0;22.451;Non
2025-07-06;AntillesAdventure;Tourisme;Privé;Logo début/fin;KARATA TOUR;6.2;940.1;33.0;2;Tablet;19.0;4.0;AntillesAdventure_C09;9;75;72.0;Non;75;Karata;YouTube;Professionnel;2025-07-06;2025-10-12;7;Été;1.45;25.5;17.6;8.5;0.0653;0.0122;1.669;0.311;3.7;4.257;Oui
2025-10-12;AntillesAdventure;Tourisme;Privé;Logo début/fin;LIVE;7.0;927.05;40.4;8;Tablet;19.0;4.0;AntillesAdventure_C09;9;75;72.0;Non;75;Karata;YouTube;Professionnel;2025-07-06;2025-10-12;10;Standard;1.26;46.5;36.8;15.5;0.0557;0.0132;2.588;0.615;3.7;4.257;Oui
2025-11-21;AntillesAdventure;Tourisme;Privé;Logo fin;MOUN A MAS;6.3;860.73;37.0;27;Tablet;15.0;2.0;AntillesAdventure_C10;10;150;233.0;Oui;50;Karata;Facebook;Kids;2025-11-21;2025-12-08;11;Standard;2.26;116.2;51.3;38.7;0.0375;0.0043;4.364;0.503;10.4;9.892;Non
